Date,Open,High,Low,Close,Adj Close,Volume
2019-10-22,30.0,30.0,27.0,27.0,27.0,7922
2019-10-23,27.0,28.5,25.5,27.0,27.0,1349
2019-10-24,27.0,28.5,25.5,27.0,27.0,284
2019-10-25,27.0,28.5,25.5,27.0,27.0,547
2019-10-27,25.5,28.5,25.5,28.5,28.5,127
2019-10-29,28.5,28.5,27.0,27.0,27.0,206
2019-10-30,25.5,27.0,25.5,25.5,25.5,271
2019-10-31,24.0,27.0,24.0,27.0,27.0,1113
2019-11-01,25.5,27.0,25.5,25.5,25.5,539
2019-11-04,24.0,27.0,24.0,27.0,27.0,824
2019-11-05,27.0,27.0,25.5,27.0,27.0,951
2019-11-06,27.0,27.0,25.5,25.5,25.5,736
2019-11-07,25.5,27.0,25.5,25.5,25.5,1295
2019-11-08,27.0,27.0,25.5,27.0,27.0,236
2019-11-11,28.5,28.5,27.0,27.0,27.0,537
2019-11-13,27.0,28.5,25.5,28.5,28.5,2585
2019-11-14,28.5,28.5,27.0,27.0,27.0,356
2019-11-15,28.5,28.5,25.5,28.5,28.5,439
2019-11-18,27.0,28.5,27.0,27.0,27.0,385
2019-11-19,25.5,27.0,25.5,27.0,27.0,1211
2019-11-20,27.0,27.0,25.5,25.5,25.5,600
2019-11-21,25.5,27.0,24.0,24.0,24.0,2206
2019-11-22,24.0,25.5,24.0,24.0,24.0,909
2019-11-25,24.0,25.5,24.0,24.0,24.0,510
2019-11-26,24.0,25.5,24.0,25.5,25.5,332
2019-11-27,25.5,27.0,25.5,25.5,25.5,228
2019-11-28,25.5,27.0,25.5,27.0,27.0,270
2019-11-29,28.5,28.5,28.5,28.5,28.5,201
2019-12-02,30.0,30.0,30.0,30.0,30.0,422
2019-12-03,31.5,31.5,31.5,31.5,31.5,241
2019-12-04,31.5,33.0,31.5,33.0,33.0,568
2019-12-05,34.5,34.5,34.5,34.5,34.5,188
2019-12-06,36.0,36.0,33.0,36.0,36.0,1207
2019-12-09,36.0,37.5,34.5,34.5,34.5,1833
2019-12-10,33.0,34.5,33.0,33.0,33.0,928
2019-12-11,31.5,31.5,31.5,31.5,31.5,172
2019-12-12,30.0,33.0,30.0,31.5,31.5,358
2019-12-13,30.0,33.0,30.0,30.0,30.0,93
2019-12-16,30.0,31.5,30.0,31.5,31.5,85
2019-12-17,30.0,33.0,30.0,30.0,30.0,452
2019-12-18,28.5,30.0,28.5,28.5,28.5,193
2019-12-19,28.5,30.0,28.5,30.0,30.0,348
2019-12-20,28.5,31.5,28.5,31.5,31.5,171
2019-12-23,31.5,31.5,30.0,30.0,30.0,55
2019-12-24,30.0,30.0,28.5,30.0,30.0,619
2019-12-26,30.0,31.5,28.5,31.5,31.5,517
2019-12-27,30.0,31.5,30.0,31.5,31.5,269
2019-12-30,30.0,30.0,30.0,30.0,30.0,7
